epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,435.618,1.25923,1.88594,1.38452,0.64689,0.36021,0.36004,0.21685,1.26083,6.13626,1.41776,0.00333212,0.00333212,0.00333212
2,857.234,1.27527,1.42314,1.3821,0.47489,0.34976,0.34362,0.20231,1.32602,4.78238,1.49072,0.00644549,0.00644549,0.00644549
3,1274.98,1.38115,1.58628,1.46125,0.56143,0.26235,0.27634,0.15046,1.50448,7.13398,1.61777,0.00933887,0.00933887,0.00933887
4,1691.89,1.44401,1.69565,1.5134,0.48348,0.33281,0.30896,0.17421,1.41448,7.36176,1.57203,0.00901,0.00901,0.00901
5,2107.87,1.38607,1.56812,1.47082,0.54563,0.34893,0.36263,0.21817,1.31444,5.99037,1.48355,0.00868,0.00868,0.00868
6,2522.44,1.3421,1.4687,1.43809,0.54122,0.39032,0.41307,0.2508,1.26823,6.89464,1.44068,0.00835,0.00835,0.00835
7,2937.13,1.30074,1.38247,1.4101,0.61536,0.41022,0.4315,0.25856,1.27064,6.04125,1.44584,0.00802,0.00802,0.00802
8,3351.55,1.2631,1.31619,1.38215,0.5174,0.4374,0.43022,0.2696,1.20961,7.10642,1.40433,0.00769,0.00769,0.00769
9,3765.91,1.2367,1.26835,1.36697,0.56413,0.44801,0.45696,0.29096,1.18376,6.02938,1.37118,0.00736,0.00736,0.00736
10,4180.22,1.21252,1.21948,1.34911,0.58016,0.4482,0.46596,0.29116,1.19738,6.78511,1.3917,0.00703,0.00703,0.00703
11,4594.99,1.19823,1.18783,1.34006,0.59794,0.46803,0.47379,0.30095,1.16781,6.44947,1.35325,0.0067,0.0067,0.0067
12,5009.43,1.17821,1.15081,1.32348,0.56855,0.46896,0.46878,0.30278,1.13417,7.51454,1.32771,0.00637,0.00637,0.00637
13,5423.91,1.16561,1.1186,1.31421,0.59825,0.45311,0.48027,0.30824,1.13268,6.39765,1.33129,0.00604,0.00604,0.00604
14,5838.26,1.14237,1.08467,1.29753,0.64853,0.47709,0.52329,0.33705,1.11011,7.0449,1.31695,0.00571,0.00571,0.00571
15,6253.15,1.13569,1.06215,1.2896,0.58715,0.50775,0.51215,0.33218,1.1079,7.5641,1.30309,0.00538,0.00538,0.00538
16,6667.52,1.11206,1.03095,1.27818,0.64811,0.4852,0.52323,0.34549,1.09917,7.24497,1.30092,0.00505,0.00505,0.00505
17,7081.71,1.10865,1.01598,1.28041,0.62656,0.51681,0.53744,0.3519,1.08654,7.34612,1.28856,0.00472,0.00472,0.00472
18,7499.5,1.09244,0.98548,1.26446,0.66106,0.50842,0.54084,0.35742,1.07213,7.14156,1.2738,0.00439,0.00439,0.00439
19,7914.56,1.0747,0.97028,1.25311,0.67076,0.50842,0.54884,0.36286,1.05713,7.42811,1.26837,0.00406,0.00406,0.00406
20,8329.33,1.06233,0.94103,1.24503,0.70293,0.49677,0.55995,0.37414,1.05057,7.59827,1.26433,0.00373,0.00373,0.00373
21,8742.02,1.01411,0.79322,1.24749,0.67559,0.51033,0.55187,0.36998,1.04975,7.68117,1.26331,0.0034,0.0034,0.0034
22,9154.03,0.98812,0.75957,1.2262,0.68732,0.50624,0.55729,0.37445,1.04332,7.89043,1.25859,0.00307,0.00307,0.00307
23,9565.85,0.97039,0.73182,1.21554,0.69425,0.50973,0.56092,0.38014,1.03284,7.69604,1.25049,0.00274,0.00274,0.00274
24,9978.7,0.9567,0.71229,1.2063,0.61035,0.52933,0.57382,0.38609,1.02837,7.92695,1.24779,0.00241,0.00241,0.00241
25,10390.7,0.93675,0.68616,1.19176,0.61351,0.52414,0.57614,0.39063,1.02398,8.15449,1.24503,0.00208,0.00208,0.00208
26,10802.7,0.9208,0.66013,1.18242,0.62647,0.51949,0.57392,0.3939,1.01468,8.27223,1.24267,0.00175,0.00175,0.00175
27,11214.8,0.89887,0.63377,1.16788,0.61718,0.52907,0.57764,0.39438,1.01469,8.33842,1.23968,0.00142,0.00142,0.00142
28,11628.6,0.88234,0.61505,1.15704,0.60605,0.5407,0.58257,0.39668,1.01708,8.36922,1.24325,0.00109,0.00109,0.00109
29,12042.4,0.87091,0.59215,1.14577,0.62312,0.52525,0.5835,0.39557,1.01491,8.64075,1.24021,0.00076,0.00076,0.00076
30,12457.6,0.85389,0.57772,1.13725,0.6321,0.52811,0.58457,0.39752,1.01438,8.56314,1.24134,0.00043,0.00043,0.00043
